"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price EUR"
"1","10","455-B04B-PASK-1-ND","B04B-PASK-1","CONN HEADER VERT 4POS 2MM","","10","0","0,28300","2,83"
"2","10","455-1488-ND","PAP-04V-S","CONN RCPT HSG 4POS 2.00MM","","10","0","0,11700","1,17"
"3","100","2019-RK73H1ETTP91R0FCT-ND","RK73H1ETTP91R0F","RES 91 OHM 1% 1/10W 0402","","100","0","0,01130","1,13"
"4","100","2019-RK73H1ETTP1500FCT-ND","RK73H1ETTP1500F","RES 150 OHM 1% 1/10W 0402","","100","0","0,01130","1,13"
"5","20","732-12013-1-ND","150060BS55040","LED BLUE DIFFUSED 0603 SMD","","20","0","0,16100","3,22"
"6","20","732-12017-1-ND","150060VS55040","LED GREEN DIFFUSED 0603 SMD","","20","0","0,16100","3,22"
"7","20","732-12015-1-ND","150060RS55040","LED RED DIFFUSED 0603 SMD","","20","0","0,16100","3,22"
"8","1","1528-1744-ND","3111","HOOK-UP 22AWG STRAND - 6 X 25FT","","1","0","18,54000","18,54"
"9","10","S9001-ND","SPC02SYAN","CONN JUMPER SHORTING GOLD FLASH","","10","0","0,04500","0,45"
"10","10","2057-PH1-02-UA-ND","PH1-02-UA","CONN HEADER VERT 2POS 2.54MM","","10","0","0,02900","0,29"
"11","4","732-61300821821-ND","61300821821","WR-PHD 2.54 MM DUAL SOCKET HEADE","","4","0","0,35000","1,40"
"12","4","H3CCS-4006G-ND","H3CCS-4006G","IDC CBL - HHKC40S/AE40G/HHKC40S","","4","0","1,65000","6,60"
"13","4","ED10529-ND","302-S401","CONN HEADER VERT 40POS 2.54MM","","4","0","0,63000","2,52"
"14","4","2057-USB-AP-S-RA-ND","USB-AP-S-RA","USB TYPE A PLUG SINGLE R/A PCB","","4","0","0,52000","2,08"
"15","4","WM4330-ND","0470531000","CONN HEADER VERT 4POS 2.54MM","","4","0","0,55000","2,20"
"16","80","455-1325-1-ND","SPHD-001T-P0.5","CONN SOCKET 22-26AWG CRIMP TIN","","80","0","0,03000","2,40"
"17","16","455-1486-ND","PAP-02V-S","CONN RCPT HSG 2POS 2.00MM","","16","0","0,10500","1,68"
"18","16","455-B02B-PASK-1-ND","B02B-PASK-1","CONN HEADER VERT 2POS 2MM","","16","0","0,15200","2,43"
"19","10","455-B5B-XH-AM-ND","B5B-XH-AM","CONN HEADER VERT 5POS 2.5MM","","10","0","0,20900","2,09"
"20","100","1276-1002-1-ND","CL05B104KP5NNNC","CAP CER 0.1UF 10V X7R 0402","","100","0","0,01160","1,16"
"21","100","311-22.0KLRCT-ND","RC0402FR-0722KL","RES 22K OHM 1% 1/16W 0402","","100","0","0,00470","0,47"
"22","10","2057-ICS-316-T-ND","ICS-316-T","IC SOCKET, DIP, 16P 2.54MM PITCH","","10","0","0,10800","1,08"
"23","8","HDR100IMP40F-G-RA-TH-ND","HDR100IMP40F-G-RA-TH","CONN HDR 40POS 0.1 GOLD PCB R/A","","8","0","0,83000","6,64"
"24","4","1738-1026-ND","DFR0010","DFRDUINO NANO ATMEGA328 EVAL BRD","","4","0","5,48000","21,92"
